#{"t_start": 1700903625.4407713, "env_id": "None"}
r,l,t
-7604.0,70,5.553996
-6657.0,72,10.281296
-11252.0,74,17.195545
-7969.0,71,23.063519
-9826.0,71,30.426841
-16448.0,72,37.315155
-12334.0,74,46.333474
-12948.0,75,53.330123
-13551.0,73,60.677663
-23248.0,75,68.847493
-10921.0,71,75.659772
-23065.0,72,82.534872
-25009.0,73,89.955428
-13997.0,72,95.932245
-12669.0,72,102.813432
-9328.0,74,110.775597
-10989.0,72,119.091826
-8008.0,70,125.880572
-6543.0,70,133.67785
-14068.0,69,141.639602
-14217.0,72,147.876943
-10317.0,74,155.92621
-5847.0,72,162.791164
-7166.0,71,170.603831
-9832.0,74,179.940483
-8522.0,74,186.814405
-5735.0,71,193.583261
-6066.0,74,202.42515
-6024.0,76,210.330347
-4325.0,74,218.53692
-5998.0,71,226.381359
-5426.0,70,233.337062
-5363.0,72,240.094616
-5473.0,72,248.196687
-4272.0,73,254.942747
-4870.0,72,261.660911
-6132.0,72,268.442255
-3700.0,71,275.503696
-4824.0,74,282.281682
-5301.0,74,290.07978
-4420.0,74,297.965879
-3231.0,70,306.05686
-3538.0,69,313.701276
-5673.0,72,321.475397
-5049.0,73,328.237948
-4316.0,71,335.27324
-4077.0,72,343.06286
-4749.0,69,349.734473
-3849.0,71,356.394775
-3519.0,71,364.517776
-3927.0,69,372.223038
-3745.0,72,379.962348
-3641.0,70,387.669462
-4759.0,71,395.381849
-2701.0,70,403.377046
-4593.0,72,411.102459
-3541.0,70,418.846704
-4700.0,73,424.544342
-2724.0,70,432.574684
-3414.0,72,439.23876
-2940.0,72,447.945814
-3631.0,72,456.709847
-3334.0,70,461.652606
-3402.0,67,467.192171
-2736.0,72,474.898322
-4696.0,71,482.597966
-3373.0,72,491.749769
-3888.0,71,499.448224
-3156.0,72,508.154683
-3522.0,72,515.931804
-3519.0,69,522.61004
-3313.0,69,530.637832
-4474.0,70,537.283879
-3370.0,70,544.997407
-3322.0,68,551.610624
-3572.0,69,558.634304
-3579.0,71,565.26886
-3444.0,70,572.981064
-2727.0,69,580.652425
-3544.0,68,588.735316
-3363.0,68,596.427305
-3408.0,69,603.075805
-3846.0,72,610.794531
-2870.0,70,618.480073
-3555.0,69,626.50149
-3314.0,70,633.132434
-3352.0,68,639.771165
-3466.0,68,646.446732
-3382.0,72,654.53984
-3321.0,72,662.277593
-3119.0,68,668.874999
-3363.0,71,676.581696
-3039.0,69,682.535377
-3738.0,67,689.104483
-3483.0,71,695.805109
-3289.0,70,702.491876
-3521.0,68,710.46418
-3043.0,70,718.183926
-2863.0,69,725.816677
-2820.0,69,733.516697
-2822.0,70,741.206179
-3059.0,72,749.294945
-3193.0,68,756.928089
-3002.0,71,764.59659
-3490.0,68,772.232164
-4500.0,70,780.273272
-4152.0,69,787.908568
-2532.0,69,794.487485
-2897.0,68,801.104563
-2798.0,71,809.189148
-3591.0,71,816.849118
-3114.0,70,824.548947
-2476.0,71,832.253462
-2919.0,71,839.939079
-3297.0,69,846.940508
-3682.0,72,854.639291
-2772.0,69,861.262759
-2682.0,67,868.85525
-2756.0,70,876.940258
-3105.0,69,884.597446
-3189.0,70,892.267456
-2753.0,72,899.95773
-3305.0,69,907.993345
-2769.0,71,915.681622
-2331.0,73,923.437794
-2494.0,71,931.092237
-2872.0,72,939.174374
-2591.0,69,946.836853
-2628.0,70,954.52485
-3023.0,69,960.078231
-2654.0,72,967.882113
-2863.0,69,975.912273
-2199.0,71,983.572208
-2897.0,69,991.221905
-2813.0,70,998.888669
-2589.0,71,1006.924847
-3106.0,71,1014.621234
-2423.0,73,1022.338106
-3186.0,70,1030.035288
-2614.0,70,1037.109895
-2607.0,69,1044.816165
-2731.0,70,1052.615654
-2824.0,71,1060.399693
-2557.0,71,1068.083502
