#{"t_start": 1701149235.710484, "env_id": "None"}
r,l,t
-71870.0,70,8.703635
-73311.0,68,16.090136
-62816.0,67,23.297089
-55952.0,70,32.632367
-50821.0,69,40.697816
-58722.0,71,48.710517
-83821.0,71,59.41871
-27387.0,70,67.488517
-29869.0,68,76.025111
-34284.0,68,84.981794
-25346.0,69,93.10647
-61977.0,71,102.296545
-33605.0,67,109.372796
-34374.0,69,118.713425
-34501.0,65,126.639886
-12857.0,68,134.636889
-74121.0,68,142.431687
-58305.0,70,150.571615
-44813.0,69,159.325294
-31828.0,66,168.052259
-27809.0,67,175.749361
-46679.0,70,185.15906
-39063.0,69,192.893514
-19594.0,72,200.610749
-21485.0,72,209.464789
-56338.0,69,218.247009
-30841.0,72,228.595051
-28457.0,68,236.087909
-33573.0,71,245.805742
-28778.0,69,254.614217
-22468.0,71,262.649603
-30196.0,68,270.333794
-36687.0,70,278.885682
-42273.0,68,285.254437
-31439.0,69,295.082096
-32716.0,69,303.700217
-22863.0,71,312.220502
-24640.0,66,319.708418
-28384.0,68,327.392586
-21921.0,69,336.639259
-23511.0,68,344.09276
-18442.0,69,351.608624
-63523.0,72,360.20224
-36598.0,72,368.118999
-26960.0,69,376.486124
-16677.0,69,384.836888
-22184.0,69,393.24076
-21168.0,70,402.170643
-35376.0,69,409.777685
-28045.0,67,418.302501
-17530.0,66,425.890918
-22809.0,67,434.451342
-25866.0,69,443.360934
-35907.0,70,452.103354
-18457.0,68,460.633763
-27039.0,68,470.228708
-19516.0,67,475.970891
-22152.0,65,482.385576
-20111.0,68,489.877367
-22140.0,66,497.390301
-18070.0,66,504.840233
-25114.0,68,511.576976
-19777.0,68,518.035272
-40847.0,68,526.55388
-34688.0,67,535.234725
-24500.0,65,542.981236
-18147.0,68,550.457077
-21868.0,68,557.8969
-21224.0,66,565.227162
-20154.0,68,573.042374
-18508.0,68,580.349511
-14173.0,72,588.697307
-19485.0,68,596.113055
-18490.0,68,603.504668
-19726.0,69,612.371157
-24519.0,68,620.818821
-18429.0,68,628.161939
-18687.0,67,635.451563
-16726.0,67,643.223635
-14859.0,69,651.561835
-19414.0,67,658.884328
-20906.0,66,666.332269
-15856.0,68,674.829778
-18279.0,71,683.665762
-11835.0,69,691.979006
-18963.0,69,700.351311
-17335.0,66,708.641085
-15278.0,66,717.284734
-18766.0,69,725.651935
-19653.0,69,733.989275
-15697.0,68,741.376926
-17173.0,65,747.613912
-17092.0,68,755.356131
-16398.0,68,763.701307
-18410.0,66,771.9792
-16399.0,67,779.241756
-13956.0,67,788.024756
-14858.0,66,795.292085
-11717.0,69,804.728805
-14720.0,67,812.037679
-16941.0,66,819.703463
-14110.0,66,828.181307
-16045.0,67,836.574233
-13070.0,68,844.969877
-12969.0,69,853.540041
-15928.0,68,863.4896
-16759.0,65,870.875945
-13989.0,67,878.125702
-13984.0,67,885.504653
-13818.0,66,892.217917
-16318.0,67,899.558301
-18906.0,67,908.087864
-13706.0,68,916.396083
-12934.0,69,924.805405
-12390.0,66,932.569688
-12393.0,68,941.014729
-12304.0,68,949.574765
-12905.0,70,958.0819
-15947.0,66,965.829566
-17830.0,66,974.407317
-12518.0,68,982.841744
-15122.0,69,991.185144
-15931.0,67,998.562045
-14361.0,65,1007.337942
-13474.0,68,1015.680909
-16121.0,66,1024.111247
-13288.0,68,1031.447958
-12082.0,68,1040.314885
-17558.0,66,1048.629174
-16032.0,67,1057.056377
-12512.0,68,1066.548842
-12044.0,66,1073.85982
-11856.0,69,1082.728674
-11287.0,67,1088.879391
-15269.0,69,1097.176791
-10799.0,69,1105.452225
-13788.0,68,1113.156875
