#{"t_start": 1701097594.9872837, "env_id": "None"}
r,l,t
-105832.0,77,7.941053
-48703.0,75,12.80195
-113387.0,77,20.030999
-78320.0,75,28.643052
-31557.0,75,37.919402
-34374.0,80,48.070311
-38193.0,77,57.09178
-66428.0,74,66.583723
-38830.0,77,74.278614
-29590.0,78,81.061727
-21114.0,79,89.919152
-56267.0,80,99.300335
-32665.0,74,106.96718
-62651.0,79,115.698154
-22256.0,80,125.508761
-28965.0,79,133.482038
-49584.0,82,141.42481
-26292.0,78,150.154173
-27265.0,77,157.831074
-28638.0,80,166.821481
-36840.0,78,174.5652
-24948.0,74,181.961678
-23618.0,80,190.917805
-17748.0,75,198.85114
-24358.0,79,207.522321
-19807.0,74,214.999872
-23629.0,74,221.289616
-21759.0,75,228.987197
-20364.0,80,237.475735
-19427.0,74,243.808963
-28184.0,78,252.11764
-25722.0,77,260.784311
-22421.0,83,270.500733
-26007.0,83,278.982381
-14187.0,77,287.65542
-17628.0,72,295.853198
-42115.0,75,303.325243
-19015.0,80,310.841464
-20571.0,81,320.690798
-16688.0,78,329.064212
-15930.0,80,337.553784
-16475.0,75,345.765803
-11745.0,76,354.498276
-16559.0,72,362.769245
-14702.0,75,371.153879
-15683.0,73,378.482572
-12178.0,74,387.281197
-10945.0,76,395.662737
-18781.0,75,403.886853
-16152.0,75,412.196558
-9882.0,74,420.652746
-10694.0,76,428.938845
-11468.0,77,437.292487
-14940.0,72,445.470452
-12510.0,75,454.025713
-11297.0,78,462.261292
-12846.0,75,470.466652
-11299.0,77,478.658984
-16162.0,76,487.225345
-11344.0,78,495.43396
-11967.0,74,503.524518
-11207.0,78,510.774726
-14550.0,75,519.318081
-13011.0,74,527.634552
-13059.0,80,534.825631
-13155.0,74,542.973638
-11365.0,78,550.534714
-12195.0,78,558.735448
-11174.0,74,566.901217
-10887.0,78,576.194101
-9925.0,75,584.613584
-10446.0,75,591.62041
-10110.0,75,598.612082
-11679.0,78,607.730116
-9614.0,78,616.232237
-11036.0,78,624.313908
-9786.0,78,631.403087
-10131.0,78,639.567317
-13216.0,75,648.07057
-13561.0,74,656.16504
-11104.0,77,664.328513
-10023.0,75,672.427279
-14229.0,73,680.98762
-10632.0,72,688.137922
-13254.0,73,696.377654
-15651.0,75,704.586262
-12466.0,71,713.199781
-12546.0,71,721.601344
-15284.0,70,729.99099
-11450.0,75,738.246811
-10822.0,75,747.914086
-10235.0,73,756.095837
-12805.0,73,764.19335
-11659.0,73,772.43127
-10004.0,73,780.895675
-13470.0,72,788.141161
-14583.0,73,795.293195
-16710.0,74,803.74192
-9925.0,72,812.272995
-15012.0,72,820.463386
-12227.0,78,827.742472
-11758.0,71,834.879835
-9493.0,80,843.870007
-11412.0,72,852.137949
-9912.0,78,860.466106
-12026.0,72,868.685627
-10023.0,78,877.452093
-10273.0,78,885.682056
-10603.0,75,893.768584
-9944.0,75,901.846451
-10453.0,75,910.363918
-8494.0,78,918.524668
-10242.0,73,925.56945
-12925.0,73,933.858366
-10827.0,72,941.449692
-10499.0,73,948.570615
-9476.0,78,956.86523
-11200.0,71,965.067026
-9392.0,73,973.543975
-10951.0,72,981.77898
-10717.0,72,989.911711
-10093.0,73,998.099331
-11905.0,72,1006.615403
-10139.0,73,1014.733261
-12455.0,73,1022.891762
-12078.0,73,1031.019189
-13462.0,73,1039.657265
-9453.0,75,1047.877411
-9713.0,73,1056.163011
-12661.0,71,1063.374116
-9422.0,75,1070.607663
-10917.0,72,1079.250461
-9880.0,78,1087.441155
-10290.0,73,1095.600557
-10387.0,72,1103.70454
-13481.0,73,1112.15247
-12635.0,71,1120.277553
-9094.0,73,1128.368659
-10980.0,72,1136.486535
-8760.0,75,1145.062631
-12379.0,72,1153.147602
-12125.0,72,1161.33252
-10665.0,72,1169.44746
-12059.0,71,1177.870763
-10420.0,72,1186.066964
-10808.0,72,1193.139002
-10086.0,73,1201.311563
-12275.0,72,1208.961513
-13243.0,71,1216.262995
-9099.0,75,1224.581133
-8781.0,75,1232.896507
-11187.0,73,1241.579708
-10259.0,75,1249.750985
-9803.0,75,1257.888778
-9069.0,78,1266.206909
-8874.0,72,1274.745551
-9779.0,72,1282.856431
-8579.0,75,1291.073807
-10004.0,73,1299.32563
-10206.0,72,1308.115562
-8863.0,73,1316.304935
-10512.0,72,1324.554636
-9995.0,71,1332.670262
-9455.0,75,1341.314949
-10715.0,72,1349.474129
-9664.0,73,1357.548548
-10310.0,75,1365.729736
-10712.0,73,1374.25928
-9529.0,75,1382.38907
-9471.0,72,1390.448419
-10240.0,71,1398.537109
-8880.0,73,1406.61244
-9538.0,73,1415.055404
-9816.0,72,1423.141382
-9687.0,73,1431.265999
-10166.0,73,1439.346248
-12227.0,73,1447.902295
-9494.0,73,1455.946162
-9585.0,73,1462.985296
-10214.0,78,1471.133161
-8863.0,75,1479.643223
-8925.0,73,1487.752331
-10248.0,72,1495.779552
-9634.0,73,1503.919443
-9310.0,73,1511.301558
-12031.0,73,1519.390351
-7978.0,78,1527.5621
-9121.0,73,1535.604987
-10291.0,71,1542.989522
-9426.0,73,1550.018964
-9089.0,73,1558.043762
-8064.0,77,1566.154563
-9062.0,75,1574.610804
-8907.0,73,1582.647794
-9264.0,78,1590.853366
-9779.0,73,1597.925979
-8583.0,75,1606.336992
-9916.0,73,1614.376444
-12670.0,71,1622.446705
-8469.0,78,1630.602759
-10061.0,72,1639.008602
-9121.0,75,1647.008727
-8675.0,75,1655.012691
-9465.0,78,1663.082676
-8192.0,78,1671.584483
-10297.0,72,1679.605367
-9700.0,72,1687.59753
-8998.0,73,1695.604512
-7711.0,75,1704.070033
-9513.0,73,1712.122147
-9827.0,72,1719.15451
-9509.0,75,1727.228339
-10656.0,74,1735.674277
-8681.0,78,1743.779346
-9901.0,75,1751.749604
-10850.0,72,1759.763259
-9043.0,75,1769.365825
-10648.0,78,1776.497199
-9719.0,73,1783.55082
-9953.0,75,1791.673305
-9716.0,78,1800.236952
-9406.0,78,1807.34386
-8619.0,75,1815.372702
-9549.0,73,1823.413501
