vType,stat_name,count,min,max,median,mean,std
background,duration,178,20.0,84.0,36.0,37.848314606741575,11.71355320217242
background,routeLength,178,197.8,241.93,215.24,224.25095505617992,18.056195322860944
background,speed,178,2.402857142857143,11.520476190476192,6.327941176470588,6.426473958406706,1.8106765353166014
background,stopTime,178,0.0,0.0,0.0,0.0,0.0
background,timeLoss,178,3.9,68.63,18.48,20.609494382022483,11.7826341588746
background,waitingCount,178,0.0,4.0,1.0,1.0393258426966292,0.8166962739837235
background,waitingTime,178,0.0,37.0,8.0,9.376404494382022,8.381286303786979
ego,duration,72,22.0,76.0,37.0,37.736111111111114,10.286173372752422
ego,routeLength,72,197.8,241.93,241.66,224.76041666666669,17.68970505984106
ego,speed,72,2.6557894736842105,10.518695652173914,6.196410256410256,6.382601356571778,1.7225318538482746
ego,stopTime,72,0.0,0.0,0.0,0.0,0.0
ego,timeLoss,72,4.35,62.45,19.48,20.92263888888889,10.523778233792425
ego,waitingCount,72,0.0,3.0,1.0,1.0138888888888888,0.5890919461235693
ego,waitingTime,72,0.0,36.0,8.0,9.625,7.723408681836451
rescue,duration,2,24.0,43.0,43.0,33.5,9.5
rescue,routeLength,2,214.65,214.74,214.74,214.695,0.045000000000001705
rescue,speed,2,4.993953488372093,8.94375,8.94375,6.968851744186047,1.9748982558139532
rescue,stopTime,2,0.0,0.0,0.0,0.0,0.0
rescue,timeLoss,2,13.91,31.88,31.88,22.895,8.985
rescue,waitingCount,2,0.0,1.0,1.0,0.5,0.5
rescue,waitingTime,2,0.0,14.0,14.0,7.0,7.0
