vType,stat_name,count,min,max,median,mean,std
background,duration,190,21.0,242.0,90.0,83.58421052631579,45.95490653785564
background,routeLength,190,232.95,276.29,250.13,256.6364736842108,15.093800842759483
background,speed,190,1.0058264462809918,12.012608695652174,2.9684146341463413,4.5806114349199705,3.0876332346689184
background,stopTime,190,0.0,0.0,0.0,0.0,0.0
background,timeLoss,190,3.13,224.56,66.81,64.07368421052628,45.944294532736095
background,waitingCount,190,0.0,5.0,1.0,0.9473684210526315,0.7014034210087442
background,waitingTime,190,0.0,188.0,56.0,51.126315789473686,41.67663540952139
ego,duration,72,22.0,210.0,88.0,84.56944444444444,48.56090860080567
ego,routeLength,72,232.95,276.29,245.98,254.68055555555554,15.069706541499524
ego,speed,72,1.1590952380952382,11.06409090909091,3.1396590909090913,4.608198169502538,3.1658327713267664
ego,stopTime,72,0.0,0.0,0.0,0.0,0.0
ego,timeLoss,72,3.71,189.94,65.75,65.1255555555556,48.52823461910513
ego,waitingCount,72,0.0,4.0,1.0,0.9722222222222222,0.7632573146685605
ego,waitingTime,72,0.0,152.0,55.0,52.0,42.82457757461764
rescue,duration,2,27.0,126.0,126.0,76.5,49.5
rescue,routeLength,2,245.48,267.15,267.15,256.315,10.834999999999994
rescue,speed,2,2.1202380952380953,9.091851851851851,9.091851851851851,5.606044973544973,3.485806878306878
rescue,stopTime,2,0.0,0.0,0.0,0.0,0.0
rescue,timeLoss,2,13.88,112.31,112.31,63.095,49.214999999999996
rescue,waitingCount,2,1.0,1.0,1.0,1.0,0.0
rescue,waitingTime,2,1.0,96.0,96.0,48.5,47.5
