vType,stat_name,count,min,max,median,mean,std
background,duration,148,20.0,326.0,87.0,102.13513513513513,70.66304212443048
background,routeLength,148,232.95,276.29,250.13,256.2777027027027,14.709134186151445
background,speed,148,0.7582866043613707,12.1705,2.8978571428571427,4.024973904126847,2.786246927943327
background,stopTime,148,0.0,0.0,0.0,0.0,0.0
background,timeLoss,148,3.49,305.38,67.71,82.58675675675673,70.30741604050164
background,waitingCount,148,0.0,14.0,2.0,3.1621621621621623,2.852343877467277
background,waitingTime,148,0.0,237.0,50.0,60.62837837837838,55.07492199273166
ego,duration,49,21.0,293.0,83.0,93.57142857142857,62.52444419944075
ego,routeLength,49,232.95,276.29,250.13,255.53530612244901,15.119451736906878
ego,speed,49,0.8307508532423208,11.59142857142857,3.1756321839080455,4.266251603273443,2.9364066150890396
ego,stopTime,49,0.0,0.0,0.0,0.0,0.0
ego,timeLoss,49,3.06,275.45,65.25,74.50816326530612,62.134516441033796
ego,waitingCount,49,0.0,12.0,2.0,2.9183673469387754,2.5621796739071123
ego,waitingTime,49,0.0,215.0,44.0,54.89795918367347,51.07187608113994
rescue,duration,2,38.0,48.0,48.0,43.0,5.0
rescue,routeLength,2,245.48,267.15,267.15,256.315,10.834999999999994
rescue,speed,2,5.114166666666667,7.030263157894736,7.030263157894736,6.072214912280701,0.9580482456140347
rescue,stopTime,2,0.0,0.0,0.0,0.0,0.0
rescue,timeLoss,2,23.36,34.19,34.19,28.775,5.414999999999999
rescue,waitingCount,2,1.0,1.0,1.0,1.0,0.0
rescue,waitingTime,2,5.0,15.0,15.0,10.0,5.0
