vType,stat_name,count,min,max,median,mean,std
background,duration,190,23.0,138.0,51.0,54.03157894736842,24.031537450686905
background,routeLength,190,232.95,276.29,250.13,256.63647368421056,15.093800842759476
background,speed,190,1.7824637681159419,11.511666666666665,5.071041666666667,5.659058636391472,2.3444593838373162
background,stopTime,190,0.0,0.0,0.0,0.0,0.0
background,timeLoss,190,3.38,120.81,30.41,34.41,23.884170357879515
background,waitingCount,190,0.0,5.0,1.0,1.1526315789473685,0.8478259634299529
background,waitingTime,190,0.0,99.0,21.0,22.410526315789475,20.35345295254377
ego,duration,72,22.0,138.0,48.0,53.05555555555556,26.37648831445287
ego,routeLength,72,232.95,276.29,245.98,254.68055555555554,15.069706541499524
ego,speed,72,1.9033333333333335,11.512083333333335,5.417441860465116,5.8328446771343865,2.4235629723211223
ego,stopTime,72,0.0,0.0,0.0,0.0,0.0
ego,timeLoss,72,3.8,113.4,27.34,33.44666666666667,26.163107666670214
ego,waitingCount,72,0.0,4.0,1.0,1.1805555555555556,0.9178233443087099
ego,waitingTime,72,0.0,92.0,17.0,21.444444444444443,22.03651571123162
rescue,duration,2,44.0,73.0,73.0,58.5,14.5
rescue,routeLength,2,245.48,267.15,267.15,256.315,10.834999999999994
rescue,speed,2,3.3627397260273972,6.071590909090909,6.071590909090909,4.717165317559153,1.3544255915317558
rescue,stopTime,2,0.0,0.0,0.0,0.0,0.0
rescue,timeLoss,2,28.36,61.25,61.25,44.805,16.445
rescue,waitingCount,2,1.0,2.0,2.0,1.5,0.5
rescue,waitingTime,2,13.0,41.0,41.0,27.0,14.0
